ERCC ID	subgroup	Mix1	Mix2
ERCC-00130	A	30000	7500
ERCC-00004	A	7500	1875
ERCC-00136	A	1875	468.75
ERCC-00108	A	937.5	234.375
ERCC-00116	A	468.75	117.1875
ERCC-00092	A	234.375	58.59375
ERCC-00095	A	117.1875	29.296875
ERCC-00131	A	117.1875	29.296875
ERCC-00062	A	58.59375	14.6484375
ERCC-00019	A	29.296875	7.32421875
ERCC-00144	A	29.296875	7.32421875
ERCC-00170	A	14.6484375	3.66210938
ERCC-00154	A	7.32421875	1.83105469
ERCC-00085	A	7.32421875	1.83105469
ERCC-00028	A	3.66210938	0.91552734
ERCC-00033	A	1.83105469	0.45776367
ERCC-00134	A	1.83105469	0.45776367
ERCC-00147	A	0.91552734	0.22888184
ERCC-00097	A	0.45776367	0.11444092
ERCC-00156	A	0.45776367	0.11444092
ERCC-00123	A	0.22888184	0.05722046
ERCC-00017	A	0.11444092	0.02861023
ERCC-00083	A	0.02861023	0.00715256
ERCC-00096	B	15000	15000
ERCC-00171	B	3750	3750
ERCC-00009	B	937.5	937.5
ERCC-00042	B	468.75	468.75
ERCC-00060	B	234.375	234.375
ERCC-00035	B	117.1875	117.1875
ERCC-00025	B	58.59375	58.59375
ERCC-00051	B	58.59375	58.59375
ERCC-00053	B	29.296875	29.296875
ERCC-00148	B	14.6484375	14.6484375
ERCC-00126	B	14.6484375	14.6484375
ERCC-00034	B	7.32421875	7.32421875
ERCC-00150	B	3.66210938	3.66210938
ERCC-00067	B	3.66210938	3.66210938
ERCC-00031	B	1.83105469	1.83105469
ERCC-00109	B	0.91552734	0.91552734
ERCC-00073	B	0.91552734	0.91552734
ERCC-00158	B	0.45776367	0.45776367
ERCC-00104	B	0.22888184	0.22888184
ERCC-00142	B	0.22888184	0.22888184
ERCC-00138	B	0.11444092	0.11444092
ERCC-00117	B	0.05722046	0.05722046
ERCC-00075	B	0.01430512	0.01430512
ERCC-00074	C	15000	22500
ERCC-00113	C	3750	5625
ERCC-00145	C	937.5	1406.25
ERCC-00111	C	468.75	703.125
ERCC-00076	C	234.375	351.5625
ERCC-00044	C	117.1875	175.78125
ERCC-00162	C	58.59375	87.890625
ERCC-00071	C	58.59375	87.890625
ERCC-00084	C	29.296875	43.9453125
ERCC-00099	C	14.6484375	21.9726563
ERCC-00054	C	14.6484375	21.9726563
ERCC-00157	C	7.32421875	10.9863281
ERCC-00143	C	3.66210938	5.49316406
ERCC-00039	C	3.66210938	5.49316406
ERCC-00058	C	1.83105469	2.74658203
ERCC-00120	C	0.91552734	1.37329102
ERCC-00040	C	0.91552734	1.37329102
ERCC-00164	C	0.45776367	0.68664551
ERCC-00024	C	0.22888184	0.34332275
ERCC-00016	C	0.22888184	0.34332275
ERCC-00012	C	0.11444092	0.17166138
ERCC-00098	C	0.05722046	0.08583069
ERCC-00057	C	0.01430512	0.02145767
ERCC-00002	D	15000	30000
ERCC-00046	D	3750	7500
ERCC-00003	D	937.5	1875
ERCC-00043	D	468.75	937.5
ERCC-00022	D	234.375	468.75
ERCC-00112	D	117.1875	234.375
ERCC-00165	D	58.59375	117.1875
ERCC-00079	D	58.59375	117.1875
ERCC-00078	D	29.296875	58.59375
ERCC-00163	D	14.6484375	29.296875
ERCC-00059	D	14.6484375	29.296875
ERCC-00160	D	7.32421875	14.6484375
ERCC-00014	D	3.66210938	7.32421875
ERCC-00077	D	3.66210938	7.32421875
ERCC-00069	D	1.83105469	3.66210938
ERCC-00137	D	0.91552734	1.83105469
ERCC-00013	D	0.91552734	1.83105469
ERCC-00168	D	0.45776367	0.91552734
ERCC-00041	D	0.22888184	0.45776367
ERCC-00081	D	0.22888184	0.45776367
ERCC-00086	D	0.11444092	0.22888184
ERCC-00061	D	0.05722046	0.11444092
ERCC-00048	D	0.01430512	0.02861023